,Unnamed: 0_daily,TICKER,Date,Daily_Return,month_key,SP500_Return,VIX_Close,public_date,de_ratio,ptb,debt_assets,inv_turn,at_turn,rect_turn,cash_ratio,pe_inc,gpm,roe,roa,cfm,cash_debt,permno,Unnamed: 0_monthly,PERMNO,tentativeSICCD,starting_date,end_date,correct_siccd,start_of_month,end_of_month
0,22203,AAPL,2010-02-02,0.0058028071813505,2010-02,0.01297294837718499,21.479999542236328,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
1,22204,AAPL,2010-02-03,0.0172059531989419,2010-02,-0.00547431142933863,21.600000381469727,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
2,22205,AAPL,2010-02-04,-0.0360382644730739,2010-02,-0.031140677888039425,26.079999923706055,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
3,22206,AAPL,2010-02-05,0.0177554050269372,2010-02,0.002897118921960873,26.110000610351562,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
4,22207,AAPL,2010-02-08,-0.0068555694727607,2010-02,-0.00886329049344714,26.510000228881836,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
5,22208,AAPL,2010-02-09,0.0106637532811626,2010-02,0.013040132316577413,26.0,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
6,22209,AAPL,2010-02-10,-0.0054541186372343,2010-02,-0.0022325735201887964,25.399999618530273,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
7,22210,AAPL,2010-02-11,0.0181940446911104,2010-02,0.009680437561949251,23.959999084472656,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
8,22211,AAPL,2010-02-12,0.008607151983367,2010-02,-0.002744592819371894,22.729999542236328,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
9,22212,AAPL,2010-02-16,0.0150713449637189,2010-02,0.01800074864554846,22.25,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
10,22213,AAPL,2010-02-17,-0.0041790131503314,2010-02,0.0042379594555796984,21.719999313354492,2010-02-28,0.639,4.815,0.39,62.233,0.969,10.891,1.772,0.714,0.426,0.341,0.311,0.231,0.641,14593,2612,14593,3571,2010-01-04,,3571,2010-02-01,2010-02-28
