,public_date,de_ratio,ptb,debt_assets,inv_turn,at_turn,rect_turn,cash_ratio,pe_inc,gpm,roe,roa,cfm,cash_debt,TICKER,permno,Unnamed: 0,PERMNO,tentativeSICCD,starting_date,end_date,correct_siccd,start_of_month,end_of_month,month_key
173564,2016-09-30,1.812,2.647,0.644,31.981,0.658,6.506,0.428,22.501,0.363,0.128,0.129,0.118,0.106,LH,12062,360,12062,8071,2010-01-04,,8071,2016-09-01,2016-09-30,2016-09
173565,2016-10-31,1.812,2.43,0.644,31.981,0.658,6.506,0.428,20.514,0.363,0.128,0.129,0.118,0.106,LH,12062,360,12062,8071,2010-01-04,,8071,2016-10-01,2016-10-31,2016-10
173566,2016-11-30,1.733,2.347,0.633,31.619,0.664,6.39,0.401,19.913,0.362,0.129,0.132,0.12,0.106,LH,12062,360,12062,8071,2010-01-04,,8071,2016-11-01,2016-11-30,2016-11
173567,2016-12-31,1.733,2.394,0.633,31.619,0.664,6.39,0.401,20.313,0.362,0.129,0.132,0.12,0.106,LH,12062,360,12062,8071,2010-01-04,,8071,2016-12-01,2016-12-31,2016-12
173568,2017-01-31,1.733,2.503,0.633,31.619,0.664,6.39,0.401,21.236,0.362,0.129,0.132,0.12,0.106,LH,12062,360,12062,8071,2010-01-04,,8071,2017-01-01,2017-01-31,2017-01
173569,2017-02-28,1.585,2.176,0.612,31.046,0.677,6.449,0.237,20.265,0.362,0.126,0.134,0.128,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-02-01,2017-02-28,2017-02
173570,2017-03-31,1.585,2.195,0.612,31.046,0.677,6.449,0.237,20.437,0.362,0.126,0.134,0.128,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-03-01,2017-03-31,2017-03
173571,2017-04-30,1.585,2.148,0.612,31.046,0.677,6.449,0.237,19.964,0.362,0.126,0.134,0.128,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-04-01,2017-04-30,2017-04
173572,2017-05-31,1.605,2.516,0.615,31.508,0.676,6.176,0.297,19.386,0.355,0.132,0.134,0.131,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-05-01,2017-05-31,2017-05
173573,2017-06-30,1.605,2.791,0.615,31.508,0.676,6.176,0.297,21.498,0.355,0.132,0.134,0.131,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-06-01,2017-06-30,2017-06
173574,2017-07-31,1.605,2.863,0.615,31.508,0.676,6.176,0.297,22.163,0.355,0.132,0.134,0.131,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-07-01,2017-07-31,2017-07
173575,2017-08-31,1.571,2.717,0.61,31.464,0.674,6.132,0.228,22.41,0.346,0.126,0.134,0.129,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-08-01,2017-08-31,2017-08
173576,2017-09-30,1.571,2.615,0.61,31.464,0.674,6.132,0.228,21.567,0.346,0.126,0.134,0.129,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-09-01,2017-09-30,2017-09
173577,2017-10-31,1.571,2.662,0.61,31.464,0.674,6.132,0.228,21.959,0.346,0.126,0.134,0.129,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-10-01,2017-10-31,2017-10
173578,2017-11-30,1.599,2.63,0.614,31.789,0.663,6.016,0.218,22.805,0.338,0.122,0.134,0.127,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-11-01,2017-11-30,2017-11
173579,2017-12-31,1.599,2.651,0.614,31.789,0.663,6.016,0.218,22.984,0.338,0.122,0.134,0.127,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2017-12-01,2017-12-31,2017-12
173580,2018-01-31,1.599,2.9,0.614,31.789,0.663,6.016,0.218,25.144,0.338,0.122,0.134,0.127,0.135,LH,12062,360,12062,8071,2010-01-04,,8071,2018-01-01,2018-01-31,2018-01
173581,2018-02-28,1.423,2.283,0.587,30.825,0.678,6.017,0.155,14.144,0.361,0.176,0.134,0.173,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-02-01,2018-02-28,2018-02
173582,2018-03-31,1.423,2.138,0.587,30.825,0.678,6.017,0.155,13.247,0.361,0.176,0.134,0.173,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-03-01,2018-03-31,2018-03
173583,2018-04-30,1.423,2.259,0.587,30.825,0.678,6.017,0.155,13.984,0.361,0.176,0.134,0.173,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-04-01,2018-04-30,2018-04
173584,2018-05-31,1.514,2.645,0.601,32.888,0.661,5.913,0.185,15.396,0.326,0.192,0.131,0.168,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-05-01,2018-05-31,2018-05
173585,2018-06-30,1.514,2.63,0.601,32.888,0.661,5.913,0.185,15.305,0.326,0.192,0.131,0.168,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-06-01,2018-06-30,2018-06
173586,2018-07-31,1.514,2.558,0.601,32.888,0.661,5.913,0.185,14.948,0.326,0.192,0.131,0.168,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-07-01,2018-07-31,2018-07
173587,2018-08-31,1.465,2.503,0.594,33.357,0.666,5.9,0.168,14.146,0.321,0.19,0.128,0.168,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-08-01,2018-08-31,2018-08
173588,2018-09-30,1.465,2.515,0.594,33.357,0.666,5.9,0.168,14.213,0.321,0.19,0.128,0.168,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-09-01,2018-09-30,2018-09
173589,2018-10-31,1.465,2.302,0.594,33.357,0.666,5.9,0.168,13.138,0.321,0.19,0.128,0.168,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-10-01,2018-10-31,2018-10
173590,2018-11-30,1.366,2.027,0.577,33.643,0.678,5.986,0.214,10.654,0.317,0.203,0.125,0.177,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-11-01,2018-11-30,2018-11
173591,2018-12-31,1.366,1.759,0.577,33.643,0.678,5.986,0.214,9.244,0.317,0.203,0.125,0.177,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2018-12-01,2018-12-31,2018-12
173592,2019-01-31,1.366,1.94,0.577,33.643,0.678,5.986,0.214,10.194,0.317,0.203,0.125,0.177,0.15,LH,12062,360,12062,8071,2010-01-04,,8071,2019-01-01,2019-01-31,2019-01
173593,2019-02-28,1.319,1.86,0.568,33.611,0.692,6.097,0.227,17.217,0.311,0.114,0.124,0.127,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-02-01,2019-02-28,2019-02
173594,2019-03-31,1.319,1.92,0.568,33.611,0.692,6.097,0.227,17.768,0.311,0.114,0.124,0.127,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-03-01,2019-03-31,2019-03
173595,2019-04-30,1.319,2.008,0.568,33.611,0.692,6.097,0.227,18.574,0.311,0.114,0.124,0.127,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-04-01,2019-04-30,2019-04
173596,2019-05-31,1.335,2.252,0.571,33.221,0.68,5.954,0.219,18.499,0.312,0.123,0.122,0.133,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-05-01,2019-05-31,2019-05
173597,2019-06-30,1.335,2.395,0.571,33.221,0.68,5.954,0.219,19.67,0.312,0.123,0.122,0.133,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-06-01,2019-06-30,2019-06
173598,2019-07-31,1.335,2.32,0.571,33.221,0.68,5.954,0.219,19.058,0.312,0.123,0.122,0.133,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-07-01,2019-07-31,2019-07
173599,2019-08-31,1.37,2.291,0.577,33.722,0.669,5.814,0.215,19.83,0.31,0.117,0.121,0.132,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-08-01,2019-08-31,2019-08
173600,2019-09-30,1.37,2.297,0.577,33.722,0.669,5.814,0.215,19.882,0.31,0.117,0.121,0.132,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-09-01,2019-09-30,2019-09
173601,2019-10-31,1.37,2.239,0.577,33.722,0.669,5.814,0.215,19.499,0.31,0.117,0.121,0.132,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-10-01,2019-10-31,2019-10
173602,2019-11-30,1.413,2.314,0.585,33.966,0.663,5.689,0.148,22.67,0.31,0.103,0.119,0.115,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-11-01,2019-11-30,2019-11
173603,2019-12-31,1.413,2.272,0.585,33.966,0.663,5.689,0.148,22.259,0.31,0.103,0.119,0.115,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2019-12-01,2019-12-31,2019-12
173604,2020-01-31,1.413,2.355,0.585,33.966,0.663,5.689,0.148,23.079,0.31,0.103,0.119,0.115,0.142,LH,12062,360,12062,8071,2010-01-04,,8071,2020-01-01,2020-01-31,2020-01
173605,2020-02-29,1.382,2.017,0.58,33.115,0.675,5.944,0.127,21.041,0.309,0.101,0.119,0.121,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-02-01,2020-02-29,2020-02
173606,2020-03-31,1.382,1.452,0.58,33.115,0.675,5.944,0.127,15.137,0.309,0.101,0.119,0.121,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-03-01,2020-03-31,2020-03
173607,2020-04-30,1.382,1.886,0.58,33.115,0.675,5.944,0.127,19.695,0.309,0.101,0.119,0.121,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-04-01,2020-04-30,2020-04
173608,2020-05-31,1.447,2.427,0.591,33.793,0.654,5.699,0.127,54.279,0.306,0.043,0.114,0.073,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-05-01,2020-05-31,2020-05
173609,2020-06-30,1.447,2.3,0.591,33.793,0.654,5.699,0.127,51.427,0.306,0.043,0.114,0.073,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-06-01,2020-06-30,2020-06
173610,2020-07-31,1.447,2.674,0.591,33.793,0.654,5.699,0.127,59.728,0.306,0.043,0.114,0.073,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-07-01,2020-07-31,2020-07
173611,2020-08-31,1.433,2.328,0.588,29.722,0.647,5.554,0.148,47.629,0.304,0.049,0.109,0.075,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-08-01,2020-08-31,2020-08
173612,2020-09-30,1.433,2.494,0.588,29.722,0.647,5.554,0.148,51.022,0.304,0.049,0.109,0.075,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-09-01,2020-09-30,2020-09
173613,2020-10-31,1.433,2.646,0.588,29.722,0.647,5.554,0.148,54.138,0.304,0.049,0.109,0.075,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-10-01,2020-10-31,2020-10
173614,2020-11-30,1.381,2.362,0.579,26.61,0.693,5.612,0.169,23.156,0.341,0.112,0.15,0.116,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-11-01,2020-11-30,2020-11
173615,2020-12-31,1.381,2.406,0.579,26.61,0.693,5.612,0.169,23.586,0.341,0.112,0.15,0.116,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2020-12-01,2020-12-31,2020-12
173616,2021-01-31,1.381,2.706,0.579,26.61,0.693,5.612,0.169,26.525,0.341,0.112,0.15,0.116,0.138,LH,12062,360,12062,8071,2010-01-04,,8071,2021-01-01,2021-01-31,2021-01
173617,2021-02-28,1.142,2.293,0.533,25.866,0.734,5.552,0.429,15.108,0.383,0.167,0.193,0.156,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-02-01,2021-02-28,2021-02
173618,2021-03-31,1.142,2.438,0.533,25.866,0.734,5.552,0.429,16.06,0.383,0.167,0.193,0.156,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-03-01,2021-03-31,2021-03
173619,2021-04-30,1.142,2.542,0.533,25.866,0.734,5.552,0.429,16.742,0.383,0.167,0.193,0.156,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-04-01,2021-04-30,2021-04
173620,2021-05-31,1.202,2.674,0.545,22.958,0.795,5.665,0.355,10.204,0.406,0.322,0.243,0.216,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-05-01,2021-05-31,2021-05
173621,2021-06-30,1.202,2.688,0.545,22.958,0.795,5.665,0.355,10.255,0.406,0.322,0.243,0.216,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-06-01,2021-06-30,2021-06
173622,2021-07-31,1.202,2.858,0.545,22.958,0.795,5.665,0.355,11.009,0.406,0.322,0.243,0.216,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-07-01,2021-07-31,2021-07
173623,2021-08-31,1.101,2.864,0.524,23.226,0.823,5.717,0.482,10.358,0.41,0.321,0.257,0.219,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-08-01,2021-08-31,2021-08
173624,2021-09-30,1.101,2.656,0.524,23.226,0.823,5.717,0.482,9.609,0.41,0.321,0.257,0.219,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-09-01,2021-09-30,2021-09
173625,2021-10-31,1.101,2.709,0.524,23.226,0.823,5.717,0.482,9.799,0.41,0.321,0.257,0.219,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-10-01,2021-10-31,2021-10
173626,2021-11-30,1.035,2.595,0.508,23.791,0.81,5.601,0.602,10.129,0.395,0.285,0.235,0.212,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-11-01,2021-11-30,2021-11
173627,2021-12-31,1.035,2.857,0.508,23.791,0.81,5.601,0.602,11.154,0.395,0.285,0.235,0.212,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2021-12-01,2021-12-31,2021-12
173628,2022-01-31,1.035,2.467,0.508,23.791,0.81,5.601,0.602,9.633,0.395,0.285,0.235,0.212,0.2,LH,12062,360,12062,8071,2010-01-04,,8071,2022-01-01,2022-01-31,2022-01
173629,2022-02-28,0.982,2.306,0.495,24.548,0.797,5.378,0.533,11.122,0.372,0.224,0.204,0.194,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-02-01,2022-02-28,2022-02
173630,2022-03-31,0.982,2.242,0.495,24.548,0.797,5.378,0.533,10.81,0.372,0.224,0.204,0.194,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-03-01,2022-03-31,2022-03
173631,2022-04-30,0.982,2.038,0.495,24.548,0.797,5.378,0.533,9.852,0.372,0.224,0.204,0.194,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-04-01,2022-04-30,2022-04
173632,2022-05-31,0.971,2.144,0.492,23.001,0.733,5.068,0.614,11.323,0.363,0.194,0.175,0.187,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-05-01,2022-05-31,2022-05
173633,2022-06-30,0.971,2.037,0.492,23.001,0.733,5.068,0.614,10.755,0.363,0.194,0.175,0.187,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-06-01,2022-06-30,2022-06
173634,2022-07-31,0.971,2.279,0.492,23.001,0.733,5.068,0.614,12.033,0.363,0.194,0.175,0.187,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-07-01,2022-07-31,2022-07
173635,2022-08-31,0.963,1.958,0.49,21.406,0.689,4.683,0.534,10.773,0.363,0.172,0.159,0.189,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-08-01,2022-08-31,2022-08
173636,2022-09-30,0.963,1.78,0.49,21.406,0.689,4.683,0.534,9.795,0.363,0.172,0.159,0.189,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-09-01,2022-09-30,2022-09
173637,2022-10-31,0.963,1.928,0.49,21.406,0.689,4.683,0.534,10.61,0.363,0.172,0.159,0.189,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-10-01,2022-10-31,2022-10
173638,2022-11-30,0.959,2.113,0.489,19.132,0.639,4.314,0.397,12.824,0.357,0.142,0.137,0.187,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-11-01,2022-11-30,2022-11
173639,2022-12-31,0.959,2.067,0.489,19.132,0.639,4.314,0.397,12.546,0.357,0.142,0.137,0.187,0.308,LH,12062,360,12062,8071,2010-01-04,,8071,2022-12-01,2022-12-31,2022-12
